Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
67,d0Lrnsx0,05/08/2023,11:00,SCOTLAND - PREMIERSHIP,Livingston,Aberdeen,ROUND 1,2.8,3.25,2.55,1.44,2.63,1.07,9.0,1.33,3.4,2.1,1.73,3.75,1.29,7.0,1.1,1.8,1.95,2.75,1.43,1.53,2.43,9.0,8.0,12.0,23.0,9.0,6.0,10.0,21.0,13.0,11.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
68,I9MvmNMg,05/08/2023,11:00,SCOTLAND - PREMIERSHIP,Dundee FC,Motherwell,ROUND 1,2.55,3.3,2.75,1.44,2.63,1.06,10.0,1.33,3.4,2.05,1.8,3.5,1.3,7.0,1.1,1.8,1.95,2.43,1.53,1.45,2.68,9.5,8.5,13.0,29.0,8.5,6.0,10.0,21.0,12.0,10.0,15.0,29.0,26.0,21.0,29.0,51.0,251.0
69,bwLt7rEP,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Hamilton,Cove Rangers,ROUND 1,1.8,3.8,3.3,1.33,3.25,1.01,15.0,1.22,4.0,1.7,2.1,2.75,1.4,4.5,1.17,1.67,2.1,,,,,15.0,12.0,19.0,41.0,8.5,8.0,12.0,26.0,9.5,9.0,15.0,29.0,15.0,15.0,23.0,41.0,151.0
70,0n7822Mt,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Montrose,Kelty Hearts,ROUND 1,2.0,3.5,3.1,1.36,3.0,1.02,12.0,1.25,3.75,1.85,1.95,3.0,1.36,5.5,1.13,1.73,2.0,,,,,12.0,11.0,17.0,34.0,8.5,7.0,12.0,26.0,10.0,9.0,15.0,34.0,19.0,17.0,26.0,41.0,151.0
71,QgMNm82G,05/08/2023,11:30,AZERBAIJAN - PREMIER LEAGUE,Sabail,Sumqayit,ROUND 1,2.29,3.25,3.07,1.45,2.63,1.04,7.9,1.34,2.88,2.15,1.7,3.65,1.22,7.2,1.05,1.83,1.93,,,,,7.0,7.5,12.0,26.0,6.5,5.0,9.0,21.0,9.0,7.5,11.0,26.0,18.0,15.0,26.0,56.0,201.0
72,hWnoG0ge,05/08/2023,11:30,RUSSIA - PREMIER LEAGUE,Rubin Kazan,Spartak Moscow,ROUND 3,3.52,3.8,2.14,1.34,3.1,,,1.22,3.72,1.84,2.13,2.79,1.37,5.05,1.12,1.64,2.2,,,,,,,,,,,,,,,,,,,,,
73,QqogEvO7,05/08/2023,11:30,RUSSIA - PREMIER LEAGUE,Orenburg,Ural,ROUND 3,2.27,3.77,3.23,1.33,3.16,1.01,15.0,1.2,3.94,1.79,2.2,2.68,1.4,4.8,1.13,1.6,2.27,,,,,,,,,,,,,,,,,,,,,
74,joRITVoe,05/08/2023,12:00,AUSTRIA - BUNDESLIGA,Rapid Vienna,Altach,ROUND 2,1.53,4.33,5.75,1.29,3.5,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.7,2.05,1.5,2.5,1.14,5.75,15.0,19.0,34.0,67.0,8.5,8.0,19.0,41.0,8.0,8.5,15.0,41.0,11.0,12.0,21.0,41.0,151.0
75,ljGEfGXr,05/08/2023,12:00,BELARUS - VYSSHAYA LIGA,Slutsk,Energetik-BGU,ROUND 16,2.1,3.34,3.56,1.47,2.57,1.04,7.5,1.36,2.78,2.22,1.66,3.92,1.19,7.7,1.04,1.93,1.83,,,,,,,,,,,,,,,,,,,,,
76,WtYPwPBl,05/08/2023,12:00,MOLDOVA - SUPER LIGA,Floresti,Sparta Selemet,ROUND 1,1.37,4.5,7.19,1.32,3.1,1.01,11.0,1.23,3.8,1.73,2.0,2.65,1.41,4.5,1.16,1.94,1.82,,,,,12.0,17.0,36.0,81.0,6.0,7.5,19.0,61.0,6.0,6.5,15.0,67.0,8.0,10.0,19.0,76.0,101.0
77,p8QMSk11,05/08/2023,12:00,AUSTRIA - BUNDESLIGA,A. Klagenfurt,Wolfsberger AC,ROUND 2,2.7,3.6,2.45,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.53,2.38,2.68,1.45,1.58,2.35,15.0,11.0,13.0,23.0,12.0,7.0,9.5,17.0,15.0,10.0,12.0,23.0,29.0,19.0,23.0,41.0,126.0
78,lnQh2Zm6,05/08/2023,12:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Borac Banja Luka,FK Sarajevo,ROUND 2,1.79,3.45,4.34,1.43,2.62,1.04,8.5,1.33,2.91,2.13,1.7,3.65,1.22,,,1.93,1.83,,,,,7.5,9.0,17.0,46.0,5.5,5.5,11.0,26.0,7.0,7.0,12.0,36.0,12.0,13.0,23.0,61.0,201.0
79,GIq1PpY4,05/08/2023,12:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Sloga Doboj,Zeljeznicar,ROUND 2,2.8,3.15,2.43,1.46,2.53,1.05,8.0,1.36,2.78,2.21,1.65,3.9,1.19,,,1.86,1.9,,,,,7.0,6.5,10.0,21.0,6.5,5.0,8.0,18.0,11.0,8.5,11.0,26.0,26.0,20.0,31.0,67.0,201.0
80,YklZ9diI,05/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Turon,Nasaf Qarshi,ROUND 15,5.32,3.65,1.64,1.44,2.58,1.04,7.7,1.36,2.79,2.16,1.65,3.74,1.21,7.5,1.04,2.07,1.72,,,,,,,,,,,,,,,,,,,,,
81,MDuia0fc,05/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Pakhtakor,Neftchi Fargona,ROUND 15,1.68,3.67,4.92,1.44,2.58,1.04,7.7,1.33,2.93,2.07,1.7,3.56,1.23,6.8,1.06,2.04,1.74,,,,,,,,,,,,,,,,,,,,,
82,K6G9YeVp,05/08/2023,12:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Gagra,Samgurali,ROUND 19,3.54,3.34,2.01,1.43,2.62,1.04,8.3,1.33,2.93,2.09,1.72,3.56,1.23,7.5,1.06,1.83,1.93,,,,,7.5,6.0,8.0,15.0,8.0,5.0,7.0,14.0,14.0,9.5,11.0,23.0,36.0,23.0,31.0,71.0,201.0
83,QTjlSnln,05/08/2023,12:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Tuzla City,Zrinjski,ROUND 2,3.56,3.25,1.97,1.4,2.75,1.04,9.0,1.3,3.2,2.1,1.67,3.5,1.25,,,1.8,1.91,,,,,7.5,6.0,8.5,15.0,8.0,5.5,7.5,13.0,14.0,9.5,11.0,23.0,34.0,26.0,31.0,67.0,201.0
84,QoC2hULp,05/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Buxoro,Qizilqum,ROUND 15,1.99,3.23,3.9,1.52,2.36,1.07,6.8,1.51,2.47,2.47,1.48,4.9,1.14,10.5,1.02,2.18,1.65,,,,,,,,,,,,,,,,,,,,,
85,nqucQQIb,05/08/2023,12:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zvijezda 09,Igman K.,ROUND 2,2.06,3.38,3.36,1.39,2.77,1.03,9.3,1.28,3.2,1.96,1.82,3.28,1.27,6.5,1.08,1.75,2.03,,,,,8.0,8.5,13.0,31.0,6.5,5.0,9.0,21.0,8.5,7.0,10.0,26.0,17.0,14.0,21.0,51.0,201.0
86,tzjgQses,05/08/2023,12:10,ARGENTINA - PRIMERA NACIONAL,Deportivo Madryn,Quilmes,ROUND 25,2.25,3.0,3.6,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,5.0,1.17,13.0,1.04,2.1,1.67,2.2,1.65,1.3,3.45,6.5,8.0,17.0,41.0,6.0,6.0,13.0,34.0,9.5,10.0,19.0,41.0,21.0,21.0,41.0,67.0,201.0
87,rR4gggd8,05/08/2023,12:30,SERBIA - PRVA LIGA,Smederevo,FK Indjija,ROUND 1,2.74,3.0,2.58,1.53,2.34,1.08,6.5,1.46,2.45,2.52,1.51,4.65,1.14,8.45,1.04,2.02,1.75,,,,,6.0,6.5,11.0,26.0,6.5,5.5,9.0,21.0,11.0,9.0,13.0,36.0,23.0,21.0,41.0,76.0,101.0
88,EFrxoV3l,05/08/2023,12:30,SERBIA - PRVA LIGA,Jedinstvo U.,RFK Novi Sad,ROUND 1,1.43,4.2,7.04,1.39,2.77,1.03,9.0,1.29,3.18,1.98,1.81,3.28,1.27,6.5,1.08,2.12,1.69,,,,,8.5,13.0,31.0,81.0,5.0,7.0,17.0,76.0,5.5,7.0,17.0,67.0,9.0,12.0,26.0,81.0,101.0
89,rVQRcbII,05/08/2023,12:30,SERBIA - PRVA LIGA,Vrsac,Kolubara,ROUND 1,2.7,2.88,2.55,1.47,2.5,,,1.42,2.65,2.3,1.55,4.3,1.18,7.85,1.05,2.0,1.77,,,,,,,,,,,,,,,,,,,,,
90,CfO79hMA,05/08/2023,12:30,SLOVENIA - PRVA LIGA,Rogaska,Domzale,ROUND 3,2.54,3.5,2.63,1.36,2.99,1.01,9.8,1.23,3.56,1.83,1.97,2.93,1.33,5.4,1.1,1.64,2.2,,,,,9.0,8.0,11.0,21.0,8.0,5.5,7.5,15.0,11.0,8.0,9.5,21.0,21.0,15.0,23.0,46.0,201.0
91,vD07lmGk,05/08/2023,12:30,ROMANIA - LIGA 1,FC Botosani,U Craiova 1948,ROUND 4,2.38,3.1,2.88,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.83,1.83,2.38,1.55,1.4,2.85,8.5,8.5,13.0,29.0,7.5,6.0,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
92,O8SANvFp,05/08/2023,12:30,POLAND - DIVISION 1,Wisla,S. Rzeszow,ROUND 3,1.33,4.33,7.5,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,2.0,1.73,1.38,3.0,1.11,6.8,12.0,21.0,41.0,101.0,7.5,9.0,23.0,51.0,6.5,9.0,21.0,51.0,9.0,12.0,29.0,51.0,351.0
93,hhC95p7r,05/08/2023,12:30,POLAND - EKSTRAKLASA,Gornik Zabrze,Piast Gliwice,ROUND 3,3.75,3.3,2.0,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,2.0,1.75,3.55,1.28,1.78,2.03,8.0,6.5,9.0,17.0,9.5,6.5,9.0,19.0,19.0,13.0,17.0,34.0,41.0,34.0,41.0,51.0,401.0
94,jk7u4ioq,05/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Young Boys,Winterthur,ROUND 3,1.25,6.5,10.0,1.22,4.0,1.02,21.0,1.13,6.0,1.44,2.7,2.0,1.73,3.5,1.29,1.83,1.83,1.24,3.9,,,21.0,26.0,51.0,126.0,9.5,12.0,26.0,51.0,7.5,9.5,23.0,51.0,8.0,11.0,23.0,51.0,251.0
95,by88qynf,05/08/2023,13:00,LUXEMBOURG - NATIONAL DIVISION,Schifflange,Union Titus Petange,ROUND 1,3.16,3.76,2.01,1.24,3.6,1.01,14.0,1.14,4.9,1.48,2.4,2.28,1.61,3.65,1.22,1.44,2.7,,,,,15.0,9.5,12.0,17.0,12.0,6.5,7.5,12.0,15.0,9.0,9.0,15.0,29.0,17.0,19.0,26.0,67.0
96,dES8vIpG,05/08/2023,13:00,ITALY - COPPA ITALIA,Catanzaro,Foggia,1/64-FINALS,1.11,8.5,23.0,1.18,4.5,1.01,23.0,1.08,8.0,1.33,3.4,1.8,1.91,2.75,1.4,2.2,1.62,1.12,6.25,,,21.0,41.0,101.0,351.0,11.0,17.0,41.0,151.0,7.0,12.0,34.0,101.0,6.5,11.0,34.0,81.0,501.0
97,Myr54qh5,05/08/2023,13:00,BULGARIA - PARVA LIGA,Botev Vratsa,Ludogorets,ROUND 4,11.0,6.0,1.29,1.25,3.75,1.03,17.0,1.14,5.5,1.48,2.6,2.2,1.62,3.75,1.25,1.91,1.8,7.0,1.1,3.7,1.26,17.0,9.0,7.0,8.0,26.0,11.0,9.5,11.0,51.0,26.0,21.0,26.0,126.0,67.0,51.0,51.0,251.0
98,AePC8XxS,05/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Servette,ROUND 3,3.4,3.6,2.1,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.5,2.5,3.1,1.35,1.73,2.08,15.0,11.0,12.0,21.0,15.0,7.0,9.0,15.0,19.0,12.0,11.0,21.0,34.0,23.0,26.0,34.0,101.0
99,fBo7ZE8m,05/08/2023,13:00,SLOVAKIA - NIKE LIGA,Dun. Streda,Kosice,ROUND 2,1.5,4.45,6.05,1.31,3.28,12.9,1.04,1.18,4.1,1.68,2.19,2.54,1.43,4.55,1.15,1.77,2.0,,,,,12.0,15.0,26.0,76.0,6.5,7.0,15.0,36.0,6.0,6.5,12.0,41.0,9.0,9.0,15.0,46.0,201.0
100,OSfyuyoQ,05/08/2023,13:00,SLOVAKIA - NIKE LIGA,Slovan Bratislava,Banska Bystrica,ROUND 2,1.3,5.55,9.55,1.26,3.6,1.02,15.0,1.15,4.45,1.54,2.25,2.48,1.54,4.1,1.18,1.96,1.8,,,,,15.0,23.0,56.0,201.0,6.5,9.5,26.0,81.0,5.0,6.5,18.0,81.0,6.5,8.0,20.0,91.0,201.0
101,GKn3zegs,05/08/2023,13:00,SLOVAKIA - NIKE LIGA,Trencin,Michalovce,ROUND 2,1.73,3.9,4.48,1.35,3.04,1.01,10.2,1.22,3.65,1.8,2.01,2.84,1.35,5.2,1.11,1.73,2.05,,,,,9.5,12.0,21.0,51.0,6.0,6.0,12.0,31.0,6.5,6.5,11.0,36.0,11.0,9.5,18.0,46.0,201.0
102,ENjAiubp,05/08/2023,13:00,SERBIA - SUPER LIGA,Javor,Novi Pazar,ROUND 2,2.46,3.15,2.85,1.49,2.51,1.05,7.2,1.39,2.67,2.31,1.61,4.15,1.18,8.2,1.03,1.91,1.85,,,,,7.5,8.0,12.0,26.0,7.5,5.5,10.0,23.0,12.0,9.5,14.0,36.0,26.0,21.0,36.0,81.0,201.0
103,4QOjpL6C,05/08/2023,13:15,SCOTLAND - PREMIERSHIP,Kilmarnock,Rangers,ROUND 1,7.0,5.0,1.4,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,1.75,2.0,6.25,1.12,2.85,1.4,17.0,8.5,7.5,10.0,19.0,9.5,8.0,11.0,34.0,19.0,17.0,21.0,67.0,41.0,41.0,51.0,201.0
104,pzBO9qWa,05/08/2023,13:15,BELGIUM - JUPILER PRO LEAGUE,Cercle Brugge KSV,Charleroi,ROUND 2,1.85,3.8,4.0,1.3,3.4,1.04,13.0,1.22,4.0,1.7,2.1,2.75,1.4,5.0,1.17,1.62,2.2,1.88,1.98,1.26,3.7,15.0,13.0,21.0,41.0,9.0,7.5,13.0,29.0,10.0,8.5,13.0,29.0,15.0,13.0,21.0,41.0,151.0
105,SWupwFLu,05/08/2023,13:30,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Tammeka,ROUND 22,2.01,3.44,3.46,1.38,2.81,1.02,9.2,1.27,3.28,1.92,1.86,3.18,1.29,5.95,1.08,1.73,2.06,,,,,8.5,9.0,15.0,36.0,6.0,5.5,10.0,23.0,8.0,7.0,10.0,26.0,14.0,12.0,21.0,51.0,201.0
106,4zA31Ong,05/08/2023,13:30,CHILE - PRIMERA DIVISION,Magallanes,U. Espanola,ROUND 20,2.7,3.25,2.7,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.8,1.91,2.6,1.48,1.48,2.6,9.0,8.5,13.0,26.0,8.5,6.0,10.0,21.0,13.0,10.0,15.0,34.0,26.0,21.0,34.0,51.0,251.0
107,runUkKvn,05/08/2023,13:45,CROATIA - HNL,Slaven Belupo,Rudes,ROUND 3,1.95,3.4,3.75,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.8,1.91,2.03,1.83,1.28,3.55,9.5,11.0,19.0,41.0,7.5,6.5,13.0,29.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,251.0
108,C03edaNi,05/08/2023,14:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Dinamo Batumi,Shukura,ROUND 19,1.14,7.2,15.0,1.21,3.9,1.01,16.5,1.11,5.5,1.38,2.71,2.03,1.77,3.14,1.29,2.01,1.76,,,,,20.0,36.0,81.0,201.0,7.0,11.0,36.0,101.0,5.5,7.0,19.0,91.0,6.0,8.0,19.0,81.0,201.0
109,pURHU6D2,05/08/2023,14:00,MOLDOVA - SUPER LIGA,Balti,Dacia Buiucani,ROUND 1,1.96,3.26,3.8,1.47,2.5,1.05,7.5,1.38,2.71,2.26,1.62,4.05,1.18,9.0,1.03,1.95,1.81,,,,,7.0,9.0,15.0,36.0,6.0,5.5,11.0,29.0,8.0,7.5,13.0,46.0,15.0,15.0,26.0,76.0,101.0
110,ITIFkUX3,05/08/2023,14:00,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Zira,ROUND 1,1.22,5.9,12.5,1.31,3.26,1.01,11.5,1.19,3.98,1.7,2.15,2.6,1.41,4.65,1.14,2.32,1.58,,,,,12.0,26.0,81.0,201.0,5.0,10.0,36.0,151.0,4.5,7.5,23.0,151.0,5.5,9.0,26.0,201.0,201.0
111,4lVNHP5n,05/08/2023,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Rudar,Buducnost,ROUND 3,3.48,3.6,1.85,1.36,2.9,1.02,10.0,1.27,3.4,1.86,1.84,3.1,1.31,6.1,1.09,1.75,2.03,,,,,9.0,6.5,8.0,13.0,10.0,6.0,7.0,13.0,19.0,12.0,12.0,19.0,51.0,26.0,36.0,61.0,101.0
112,d4gxIMOr,05/08/2023,14:00,RUSSIA - PREMIER LEAGUE,CSKA Moscow,Lokomotiv Moscow,ROUND 3,2.16,3.79,3.47,1.33,3.04,1.01,10.2,1.21,3.74,1.81,2.16,2.67,1.39,4.85,1.13,1.62,2.23,,,,,,,,,,,,,,,,,,,,,
113,bBUQR9G7,05/08/2023,14:30,AUSTRIA - BUNDESLIGA,Sturm Graz,LASK,ROUND 2,1.73,4.0,4.5,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.57,2.25,1.7,2.1,1.22,4.15,17.0,17.0,26.0,51.0,9.5,8.0,15.0,29.0,9.5,8.5,13.0,34.0,15.0,12.0,21.0,41.0,126.0
114,KKs0E25c,05/08/2023,15:00,SERBIA - SUPER LIGA,Zeleznicar Pancevo,Mladost,ROUND 2,2.4,3.2,2.94,1.47,2.57,1.04,7.5,1.36,2.78,2.23,1.65,3.92,1.19,7.7,1.04,1.86,1.9,,,,,7.5,8.0,13.0,26.0,7.5,5.5,10.0,23.0,11.0,9.5,14.0,36.0,26.0,21.0,36.0,81.0,201.0
115,zPqYoBlr,05/08/2023,15:00,SERBIA - PRVA LIGA,Metalac,Graficar Beograd,ROUND 1,2.25,3.14,3.15,1.43,2.62,1.05,8.0,1.31,3.04,2.05,1.75,3.42,1.25,7.5,1.06,1.78,1.99,,,,,8.0,8.5,13.0,31.0,7.0,5.5,9.5,21.0,9.5,8.0,11.0,31.0,17.0,15.0,23.0,61.0,101.0
116,Iqc6jitR,05/08/2023,15:00,SERBIA - PRVA LIGA,Sloboda,OFK Beograd,ROUND 1,1.83,3.34,4.31,1.48,2.47,1.05,7.5,1.39,2.67,2.28,1.61,4.15,1.18,9.0,1.03,2.03,1.75,,,,,7.0,9.5,19.0,61.0,5.5,6.0,13.0,36.0,7.0,7.5,15.0,61.0,13.0,13.0,29.0,76.0,101.0
117,I791p2Mc,05/08/2023,15:00,POLAND - DIVISION 1,Chrobry Glogow,Termalica B-B.,ROUND 3,3.3,3.3,2.05,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.73,2.0,3.3,1.33,1.73,2.08,11.0,8.0,10.0,19.0,11.0,6.5,9.0,17.0,17.0,12.0,13.0,26.0,41.0,26.0,34.0,41.0,201.0
118,8Kd8Qoq8,05/08/2023,15:00,POLAND - EKSTRAKLASA,Radomiak Radom,Cracovia,ROUND 3,2.0,3.3,3.8,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.95,1.8,2.05,1.8,1.28,3.55,8.5,9.5,19.0,41.0,6.5,6.5,13.0,34.0,9.0,9.0,17.0,41.0,17.0,17.0,29.0,51.0,351.0
119,MsexcFwm,05/08/2023,15:00,ARGENTINA - PRIMERA NACIONAL,Almagro,San Telmo,ROUND 28,1.85,3.1,5.5,1.62,2.2,1.14,5.5,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.5,1.5,1.85,2.0,1.17,5.0,5.5,9.5,23.0,51.0,5.0,6.5,19.0,51.0,7.0,10.0,23.0,67.0,15.0,21.0,41.0,101.0,201.0
120,r15zlCNd,05/08/2023,15:00,AUSTRIA - 2. LIGA,Amstetten,Bregenz,ROUND 2,1.9,3.8,3.77,1.32,3.22,1.01,11.6,1.19,3.94,1.72,2.12,2.64,1.4,4.75,1.13,1.62,2.24,,,,,10.0,11.0,18.0,41.0,7.0,6.0,10.0,23.0,8.0,6.5,10.0,26.0,12.0,10.0,15.0,41.0,201.0
121,ruURGqLh,05/08/2023,15:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Jezero,Jedinstvo,ROUND 3,2.26,3.13,3.15,1.48,2.47,1.06,7.2,1.39,2.67,2.3,1.6,4.15,1.18,9.1,1.03,1.92,1.84,,,,,6.5,8.0,13.0,34.0,6.0,5.5,9.5,26.0,9.0,8.0,13.0,36.0,19.0,17.0,29.0,76.0,101.0
122,4MWgGtLQ,05/08/2023,15:00,ECUADOR - LIGA PRO,U. Catolica,Tecnico U.,SECOND STAGE ,1.53,4.0,7.0,1.36,3.0,1.05,11.0,1.25,3.75,1.85,1.95,3.25,1.33,6.0,1.13,1.91,1.8,1.53,2.43,1.13,5.9,11.0,15.0,34.0,67.0,7.0,7.5,19.0,41.0,7.0,8.5,17.0,51.0,11.0,13.0,26.0,51.0,301.0
123,OYVfCfxh,05/08/2023,15:15,SLOVENIA - PRVA LIGA,Radomlje,O. Ljubljana,ROUND 3,5.0,4.0,1.65,1.35,3.04,1.01,10.0,1.23,3.56,1.81,2.0,2.88,1.34,5.25,1.11,1.79,1.98,,,,,9.0,5.5,6.0,9.0,13.0,6.5,6.0,10.0,26.0,15.0,14.0,21.0,91.0,51.0,51.0,71.0,201.0
124,8YaWK4xn,05/08/2023,15:15,BULGARIA - PARVA LIGA,Lok. Sofia,Pirin Blagoevgrad,ROUND 4,1.91,3.4,4.33,1.44,2.63,1.07,8.5,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.91,1.8,1.88,1.98,,,8.5,11.0,21.0,41.0,6.5,6.5,15.0,41.0,8.5,9.0,17.0,41.0,15.0,17.0,29.0,51.0,301.0
125,Sxc3kT0q,05/08/2023,15:30,ROMANIA - LIGA 1,U. Cluj,Din. Bucuresti,ROUND 4,1.91,3.25,4.0,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.33,1.2,10.0,1.06,2.0,1.73,1.95,1.9,1.24,3.9,8.0,9.5,19.0,41.0,6.0,6.5,15.0,41.0,8.0,9.0,19.0,41.0,15.0,17.0,34.0,67.0,201.0
126,Uu6q3B0k,05/08/2023,15:30,SWITZERLAND - SUPER LEAGUE,Zurich,Lugano,ROUND 3,2.25,3.5,3.1,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,,,,,13.0,12.0,17.0,34.0,9.5,6.5,11.0,23.0,12.0,9.0,12.0,29.0,21.0,17.0,23.0,41.0,151.0
127,lOPhNorP,05/08/2023,15:30,MONTENEGRO - PRVA CRNOGORSKA LIGA,Mladost DG,Mornar Bar,ROUND 3,2.5,3.2,2.5,1.44,2.6,1.05,8.0,1.39,2.75,2.2,1.6,4.1,1.2,8.3,1.04,1.94,1.82,,,,,7.0,7.0,11.0,21.0,7.0,5.5,9.0,19.0,11.0,9.0,13.0,31.0,23.0,19.0,34.0,76.0,101.0
128,2isKgE5D,05/08/2023,15:30,BRAZIL - SERIE B,Avai,Criciuma,ROUND 22,2.46,2.92,3.29,1.61,2.24,1.09,5.9,1.53,2.53,2.48,1.46,4.7,1.14,9.4,1.01,2.11,1.69,,,,,6.0,7.5,14.0,36.0,6.0,5.5,12.0,31.0,10.0,9.5,17.0,46.0,23.0,23.0,41.0,126.0,201.0
129,KQlcP1Am,05/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Villa Dalmine,Gimnasia Jujuy,ROUND 25,3.3,3.2,2.25,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.2,1.62,3.3,1.33,1.65,2.2,7.0,6.0,9.5,21.0,7.5,6.0,10.0,21.0,15.0,13.0,19.0,41.0,41.0,34.0,41.0,67.0,201.0
130,vcAS83o6,05/08/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,Leuven,RWDM,ROUND 2,1.75,4.0,4.2,1.33,3.25,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.7,2.05,1.78,2.03,1.25,3.8,13.0,15.0,23.0,41.0,8.5,7.5,13.0,34.0,9.0,8.5,15.0,34.0,15.0,13.0,21.0,41.0,151.0
131,QNHFWdvO,05/08/2023,16:00,CROATIA - HNL,D. Zagreb,Gorica,ROUND 3,1.3,4.5,10.0,1.3,3.4,1.04,12.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,2.1,1.67,1.28,3.55,,,12.0,23.0,51.0,126.0,7.0,10.0,29.0,81.0,6.0,9.0,23.0,67.0,7.5,12.0,29.0,67.0,201.0
132,AeNittO9,05/08/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Vaca Diez,ROUND 22,1.22,6.0,17.0,1.2,4.33,1.02,21.0,1.1,7.0,1.36,3.1,1.83,1.83,3.0,1.36,1.83,1.83,1.2,4.4,,,21.0,41.0,67.0,151.0,11.0,12.0,41.0,81.0,8.0,10.0,21.0,67.0,8.0,11.0,23.0,51.0,201.0
133,tdweYJ3S,05/08/2023,16:00,BRAZIL - SERIE A,Santos,Athletico-PR,ROUND 18,2.3,3.1,3.3,1.5,2.5,1.1,7.0,1.44,2.75,2.38,1.57,4.5,1.2,10.0,1.06,2.0,1.75,2.25,1.63,1.33,3.3,7.5,8.5,15.0,34.0,6.5,6.0,12.0,29.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,67.0,451.0
134,dA6e3pIt,05/08/2023,16:00,CHILE - PRIMERA DIVISION,Huachipato,Coquimbo,ROUND 20,1.95,3.5,4.0,1.4,2.75,1.05,11.0,1.29,3.5,2.0,1.85,3.4,1.3,7.0,1.1,1.83,1.83,1.95,1.9,1.26,3.7,9.5,11.0,21.0,41.0,7.0,6.5,13.0,34.0,9.0,9.0,15.0,41.0,17.0,15.0,29.0,51.0,251.0
