Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
34,jmzKsEBP,19/08/2023,17:00,BRAZIL - SERIE B,Ituano,Criciuma,ROUND 24,2.59,3.04,2.92,1.57,2.32,1.08,6.25,1.55,2.48,2.54,1.44,4.95,1.12,9.9,1.01,2.13,1.68,,,,,6.5,7.0,12.0,31.0,6.5,5.5,10.0,26.0,11.0,10.0,17.0,46.0,26.0,26.0,46.0,101.0,201.0
35,23aXuqr4,19/08/2023,18:00,PANAMA - LPF,Deportivo Universitario,San Francisco,CLAUSURA ,2.27,3.0,3.07,1.53,2.34,1.08,6.5,1.51,2.38,2.55,1.45,5.1,1.13,,,2.2,1.64,,,,,,,,,,,,,,,,,,,,,
36,UmCoZWHI,19/08/2023,18:00,COLOMBIA - PRIMERA A,Pereira,Jaguares de Cordoba,CLAUSURA ,1.85,3.4,4.5,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,2.0,1.73,1.88,1.98,1.23,4.1,8.5,11.0,21.0,41.0,6.5,6.5,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,29.0,51.0,351.0
37,2s6NTbTt,19/08/2023,18:30,BRAZIL - SERIE A,Fluminense,America MG,ROUND 20,1.5,4.0,7.0,1.36,3.0,1.06,10.0,1.29,3.75,1.93,1.93,3.4,1.33,6.0,1.13,2.0,1.75,1.48,2.6,1.11,6.6,10.0,17.0,34.0,81.0,6.5,7.5,21.0,51.0,6.5,8.5,19.0,51.0,10.0,13.0,29.0,67.0,401.0
38,pfuzbXK8,19/08/2023,18:40,VENEZUELA - LIGA FUTVE,Puerto Cabello,Mineros,ROUND 24,1.45,4.33,6.67,1.35,3.04,1.01,10.0,1.23,3.56,1.81,1.99,2.88,1.34,5.3,1.11,1.92,1.84,,,,,10.0,14.0,31.0,101.0,5.5,6.5,15.0,51.0,5.5,6.5,14.0,51.0,8.0,10.0,19.0,61.0,201.0
39,hE5q47QT,19/08/2023,20:30,USA - USL CHAMPIONSHIP,Detroit,Las Vegas Lights,-,1.72,3.68,4.45,1.36,2.88,1.01,9.3,1.26,3.34,1.89,1.89,3.08,1.3,5.8,1.09,1.79,1.98,,,,,9.0,11.0,21.0,61.0,5.5,6.0,13.0,34.0,6.5,6.5,12.0,41.0,10.0,11.0,21.0,56.0,201.0
40,MLiKX8y7,19/08/2023,21:00,BOLIVIA - DIVISION PROFESIONAL,Independiente Petrolero,Vaca Diez,ROUND 24,1.5,4.0,6.0,1.33,3.25,1.04,12.0,1.22,4.0,1.7,2.1,2.63,1.44,5.0,1.17,1.8,1.91,,,,,12.0,17.0,34.0,67.0,7.5,8.0,19.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
41,6HPiwXgt,19/08/2023,21:30,PERU - LIGA 1,U. de Deportes,Deportivo Garcilaso,CLAUSURA ,1.33,5.0,10.0,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.83,1.83,1.33,3.3,1.14,5.75,15.0,23.0,41.0,101.0,7.5,9.5,26.0,51.0,7.0,8.5,19.0,51.0,8.5,11.0,23.0,51.0,251.0
42,CfWEJnQG,19/08/2023,22:00,USA - USL CHAMPIONSHIP,San Antonio,Monterey Bay,-,1.62,3.84,4.98,1.36,2.9,1.01,9.6,1.25,3.42,1.86,1.92,2.98,1.32,5.6,1.09,1.82,1.94,,,,,9.0,12.0,23.0,71.0,5.5,6.0,14.0,41.0,6.0,6.5,13.0,46.0,9.5,10.0,21.0,71.0,201.0
43,fH4ZyZXa,19/08/2023,22:20,COLOMBIA - PRIMERA A,La Equidad,Junior,CLAUSURA ,2.0,3.1,4.33,1.53,2.38,1.11,6.5,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.1,1.67,2.0,1.85,1.23,4.1,6.5,9.5,21.0,41.0,5.5,6.0,15.0,41.0,8.0,9.5,19.0,51.0,17.0,19.0,41.0,67.0,201.0
