,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
77,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/08/2023,17:00,Sarmiento Junin,Boca Juniors,3.4,3.0,2.3,2.7,1.44,2.25,1.57,1.4,1.1135529,1.355,1.2,1.2489996,0.9,0.29411766,0.33333334,0.4347826,0.37037036,0.6944444,0.16739272,0.2,2.363,1,0.8641
78,ECUADOR - LIGA PRO,27/08/2023,17:30,Emelec,Delfin,1.8,3.75,4.33,1.93,1.88,1.83,1.83,1.6,1.2,0.954,0.6,0.9165151,1.113,0.5555556,0.26666668,0.23094688,0.5181347,0.5319149,0.41399676,1.0,2.117,1,0.6069
79,PARAGUAY - PRIMERA DIVISION,27/08/2023,17:30,Sp. Luqueno,Olimpia Asuncion,3.0,3.5,2.1,1.9,1.9,1.73,2.0,1.0,1.0954452,0.78,1.2,1.2489996,0.868,0.33333334,0.2857143,0.47619048,0.5263158,0.5263158,0.2216965,-0.2,2.344,1,0.7682
80,CANADA - CANADIAN PREMIER LEAGUE,27/08/2023,18:00,Cavalry,Pacific FC,2.57,3.24,2.57,2.03,1.77,1.75,2.03,1.9,1.1357816,0.585,1.8,1.2489996,0.745,0.38910505,0.30864197,0.38910505,0.49261084,0.56497175,0.10469868,0.1,2.385,1,0.5074
81,DOMINICAN REPUBLIC - LDF,27/08/2023,18:00,Vega Real,Cibao,4.36,3.36,1.81,2.25,1.63,2.01,1.76,2.4,0.9165151,0.793,2.1,1.1357816,1.161,0.2293578,0.29761904,0.5524862,0.44444445,0.61349696,0.38645846,0.3,2.052,1,0.5343
82,NICARAGUA - LIGA PRIMERA,27/08/2023,18:00,Sport Sebaco,Ferretti,2.4,3.49,2.77,1.78,1.99,1.6,2.27,1.2,1.4696939,0.859,1.3,1.1874342,0.84,0.41666666,0.28653294,0.36101082,0.56179774,0.5025126,0.15028544,-0.1,2.657,1,0.6604
83,COLOMBIA - PRIMERA A,27/08/2023,18:00,Millonarios,Atl. Nacional,2.0,3.2,4.2,2.5,1.5,2.2,1.62,2.4,0.9165151,0.654,1.4,1.1135529,0.585,0.5,0.3125,0.23809524,0.4,0.6666667,0.31466445,1.0,2.03,1,0.6589
84,BRAZIL - SERIE A,27/08/2023,18:30,Athletico-PR,Fluminense,1.91,3.5,4.2,2.1,1.73,1.95,1.8,2.0,1.264911,0.581,1.0,1.3416408,1.113,0.5235602,0.2857143,0.23809524,0.47619048,0.5780347,0.3576621,1.0,2.607,1,0.5346
85,DOMINICAN REPUBLIC - LDF,27/08/2023,19:00,Atlantico,Atletico Pantoja,1.95,3.22,3.9,2.38,1.57,2.04,1.74,1.6,1.2,0.273,1.2,1.2489996,0.687,0.51282054,0.310559,0.25641027,0.42016807,0.6369427,0.30657896,0.4,2.449,1,0.621
86,MEXICO - LIGA MX,27/08/2023,19:00,Necaxa,Queretaro,2.2,3.4,3.25,2.03,1.83,1.8,1.95,1.1,1.0440307,0.83,1.2,1.2489996,0.998,0.45454547,0.29411766,0.30769232,0.49261084,0.5464481,0.20629002,-0.1,2.293,1,0.5775
